 2 		 66.521955  	 7200 	 3 
 2 		 66.313963  	 7200 	 6 
 2 		 66.407617  	 7200 	 9 
 2 		 66.608329  	 7200 	 12 
 2 		 66.891309  	 7200 	 15 
 2 		 67.087640  	 7200 	 18 
 2 		 66.496040  	 7200 	 21 
 2 		 66.212325  	 7200 	 24 
 2 		 66.915131  	 7200 	 27 
 2 		 66.672698  	 7200 	 30 
 2 		 67.142970  	 7200 	 33 
 2 		 67.250199  	 7200 	 36 
 2 		 66.297750  	 7200 	 39 
 2 		 66.370267  	 7200 	 42 
 2 		 67.830775  	 7200 	 45 
 2 		 67.904061  	 7200 	 48 
 2 		 66.783875  	 7200 	 51 
 2 		 66.599560  	 7200 	 54 
